MEMID,HV106
009008001,Primary
009008002,Primary
009008003,Secondary
009008004,Primary
009008005,Secondary
009008006,Secondary
009009001,Primary
009009002,Primary
009009003,Secondary
009009004,Primary
009009005,"No education, preschool"
009010001,"No education, preschool"
009010002,Primary
009011001,Primary
009011002,Primary
009011003,Primary
009011004,Secondary
009011005,"No education, preschool"
009012001,Primary
009012002,Primary
009013001,Primary
009013002,Primary
009013003,Secondary
009013004,Secondary
009013005,"No education, preschool"
009014001,"No education, preschool"
009014002,"No education, preschool"
009014003,Primary
009014004,"No education, preschool"
009014005,Primary
009016001,Primary
009016002,"No education, preschool"
009017001,"No education, preschool"
009017002,Secondary
009017003,Secondary
009017004,Primary
009017005,Primary
009017006,Primary
009017007,Primary
009017008,"No education, preschool"
009018001,Secondary
009018002,Secondary
009018003,Primary
009018004,"No education, preschool"
009019001,Primary
009019002,Primary
009019003,Primary
009019004,"No education, preschool"
009019005,"No education, preschool"
009020001,"No education, preschool"
009020002,Primary
009020003,Secondary
009020004,Primary
009020005,"No education, preschool"
009020006,"No education, preschool"
009021001,Primary
009021002,Primary
009022001,Primary
009022002,"No education, preschool"
009022003,Primary
009022004,"No education, preschool"
009023001,Primary
009023002,"No education, preschool"
009024001,Primary
009024002,"No education, preschool"
009025001,Primary
009025002,Primary
009025003,"No education, preschool"
009026001,Secondary
009026002,Primary
009026003,Primary
009026004,"No education, preschool"
009027001,Primary
009027002,Primary
009027003,Secondary
009027004,Secondary
009028001,Primary
009028002,Primary
009028003,Secondary
009028004,Secondary
009028005,"No education, preschool"
009028006,"No education, preschool"
010001001,Primary
010001002,"No education, preschool"
010001003,Primary
010001004,"No education, preschool"
010001005,"No education, preschool"
010005001,"No education, preschool"
010005002,"No education, preschool"
010005003,"No education, preschool"
010005004,"No education, preschool"
010005005,"No education, preschool"
010005006,"No education, preschool"
010006001,Primary
010006002,Primary
010006003,Secondary
010006004,Secondary
010006005,Primary
010006006,Primary
010006007,"No education, preschool"
010007001,Primary
010007002,Primary
010007003,Secondary
010007004,Secondary
010008001,Primary
010008002,Primary
010008003,Secondary
010008004,Secondary
010008005,Primary
010009001,Primary
010009002,"No education, preschool"
010009003,Primary
010009004,Primary
010009005,"No education, preschool"
010009006,"No education, preschool"
010009007,"No education, preschool"
010009008,Primary
010010001,"No education, preschool"
010010002,Primary
010010003,Primary
010011001,Secondary
010011002,Secondary
010011003,"No education, preschool"
010011004,"No education, preschool"
010011005,"No education, preschool"
010011006,"No education, preschool"
010011007,"No education, preschool"
010011008,"No education, preschool"
010012001,Primary
010012002,Primary
010012003,"No education, preschool"
010012004,Primary
010012005,Higher
010012006,Higher
010013001,"No education, preschool"
010013002,"No education, preschool"
010013003,"No education, preschool"
010013004,Primary
010013005,"No education, preschool"
010014001,"No education, preschool"
010014002,Primary
010014003,"No education, preschool"
010014004,"No education, preschool"
010015001,Secondary
010015002,Secondary
010015003,"No education, preschool"
010016001,"No education, preschool"
010016002,"No education, preschool"
010016003,Primary
010016004,Secondary
010016005,Secondary
010016006,Secondary
010016007,Primary
010018001,Primary
010018002,"No education, preschool"
010018003,Primary
010018004,"No education, preschool"
010019001,Primary
010019002,Secondary
010019003,Primary
010019004,Primary
010019005,"No education, preschool"
010020001,Primary
010020002,Primary
010020003,Secondary
010020004,Secondary
010020005,Primary
010020006,"No education, preschool"
